time_s,q_in_norm,cod_in_norm,load_disturbance_mgL,do_cascade,do_feedforward_cascade,air_sp_cascade,air_sp_feedforward_cascade,air_flow_cascade,air_flow_feedforward_cascade,blower_u_cascade,blower_u_feedforward_cascade,feedforward_air_base
35.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
35.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
36.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
36.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
37.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
37.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
38.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
38.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
39.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
39.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
40.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
40.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
41.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
41.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
42.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
42.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
43.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
43.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
44.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
44.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
45.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
45.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
46.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
46.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
47.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
47.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
48.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
48.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
49.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
49.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
50.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
50.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
51.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
51.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
52.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
52.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
53.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
53.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
54.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
54.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
55.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
55.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
56.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
56.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
57.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
57.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
58.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
58.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
59.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
59.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
60.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
60.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
61.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
61.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
62.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
62.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
63.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
63.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
64.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
64.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
65.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
65.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
66.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
66.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
67.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
67.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
68.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
68.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
69.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
69.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
70.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
70.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
71.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
71.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
72.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
72.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
73.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
73.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
74.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
